digital_filename,analog_filename,analog_clean_filename,hour,minute,second
10_59_48_00000_dig_segmented.png,10_59_48_00000_ana_dynamic_green_nature.png,10_59_48_00000_ana_clean_dynamic_green_nature.png,10,59,48
09_14_23_00001_dig_simple.png,09_14_23_00001_ana_square_vintage_cream.png,09_14_23_00001_ana_clean_square_vintage_cream.png,9,14,23
06_29_44_00002_dig_simple.png,06_29_44_00002_ana_square_gold_luxury.png,06_29_44_00002_ana_clean_square_gold_luxury.png,6,29,44
12_24_38_00003_dig_simple.png,12_24_38_00003_ana_square_blue_ocean.png,12_24_38_00003_ana_clean_square_blue_ocean.png,12,24,38
07_55_06_00004_dig_segmented.png,07_55_06_00004_ana_square_purple_elegant.png,07_55_06_00004_ana_clean_square_purple_elegant.png,7,55,6
01_09_09_00005_dig_simple.png,01_09_09_00005_ana_square_orange_warm.png,01_09_09_00005_ana_clean_square_orange_warm.png,1,9,9
10_54_15_00006_dig_simple.png,10_54_15_00006_ana_dynamic_gold_luxury.png,10_54_15_00006_ana_clean_dynamic_gold_luxury.png,10,54,15
02_05_46_00007_dig_simple.png,02_05_46_00007_ana_dynamic_purple_elegant.png,02_05_46_00007_ana_clean_dynamic_purple_elegant.png,2,5,46
16_28_07_00008_dig_segmented.png,16_28_07_00008_ana_square_purple_elegant.png,16_28_07_00008_ana_clean_square_purple_elegant.png,16,28,7
23_34_51_00009_dig_lcd.png,23_34_51_00009_ana_square_orange_warm.png,23_34_51_00009_ana_clean_square_orange_warm.png,23,34,51
08_50_50_00010_dig_simple.png,08_50_50_00010_ana_dynamic_orange_warm.png,08_50_50_00010_ana_clean_dynamic_orange_warm.png,8,50,50
02_43_14_00011_dig_segmented.png,02_43_14_00011_ana_square_black_white.png,02_43_14_00011_ana_clean_square_black_white.png,2,43,14
05_24_00_00012_dig_simple.png,05_24_00_00012_ana_square_blue_ocean.png,05_24_00_00012_ana_clean_square_blue_ocean.png,5,24,0
06_48_21_00013_dig_lcd.png,06_48_21_00013_ana_dynamic_black_white.png,06_48_21_00013_ana_clean_dynamic_black_white.png,6,48,21
04_59_59_00014_dig_simple.png,04_59_59_00014_ana_square_gold_luxury.png,04_59_59_00014_ana_clean_square_gold_luxury.png,4,59,59
10_59_48_00015_dig_lcd.png,10_59_48_00015_ana_dynamic_minimal_gray.png,10_59_48_00015_ana_clean_dynamic_minimal_gray.png,10,59,48
02_43_14_00016_dig_lcd.png,02_43_14_00016_ana_square_dark_modern.png,02_43_14_00016_ana_clean_square_dark_modern.png,2,43,14
17_14_37_00017_dig_segmented.png,17_14_37_00017_ana_dynamic_vintage_cream.png,17_14_37_00017_ana_clean_dynamic_vintage_cream.png,17,14,37
02_29_26_00018_dig_lcd.png,02_29_26_00018_ana_dynamic_minimal_gray.png,02_29_26_00018_ana_clean_dynamic_minimal_gray.png,2,29,26
07_07_35_00019_dig_segmented.png,07_07_35_00019_ana_dynamic_purple_elegant.png,07_07_35_00019_ana_clean_dynamic_purple_elegant.png,7,7,35
22_53_40_00020_dig_lcd.png,22_53_40_00020_ana_square_minimal_gray.png,22_53_40_00020_ana_clean_square_minimal_gray.png,22,53,40
02_29_26_00021_dig_simple.png,02_29_26_00021_ana_square_minimal_gray.png,02_29_26_00021_ana_clean_square_minimal_gray.png,2,29,26
14_55_46_00022_dig_lcd.png,14_55_46_00022_ana_square_orange_warm.png,14_55_46_00022_ana_clean_square_orange_warm.png,14,55,46
08_08_15_00023_dig_lcd.png,08_08_15_00023_ana_square_gold_luxury.png,08_08_15_00023_ana_clean_square_gold_luxury.png,8,8,15
01_35_15_00024_dig_lcd.png,01_35_15_00024_ana_square_orange_warm.png,01_35_15_00024_ana_clean_square_orange_warm.png,1,35,15
02_29_26_00025_dig_segmented.png,02_29_26_00025_ana_square_purple_elegant.png,02_29_26_00025_ana_clean_square_purple_elegant.png,2,29,26
01_43_41_00026_dig_segmented.png,01_43_41_00026_ana_dynamic_gold_luxury.png,01_43_41_00026_ana_clean_dynamic_gold_luxury.png,1,43,41
08_19_16_00027_dig_lcd.png,08_19_16_00027_ana_dynamic_orange_warm.png,08_19_16_00027_ana_clean_dynamic_orange_warm.png,8,19,16
23_35_21_00028_dig_segmented.png,23_35_21_00028_ana_dynamic_purple_elegant.png,23_35_21_00028_ana_clean_dynamic_purple_elegant.png,23,35,21
07_08_30_00029_dig_segmented.png,07_08_30_00029_ana_square_dark_modern.png,07_08_30_00029_ana_clean_square_dark_modern.png,7,8,30
20_06_03_00030_dig_segmented.png,20_06_03_00030_ana_square_classic_white.png,20_06_03_00030_ana_clean_square_classic_white.png,20,6,3
05_23_22_00031_dig_segmented.png,05_23_22_00031_ana_dynamic_dark_modern.png,05_23_22_00031_ana_clean_dynamic_dark_modern.png,5,23,22
12_54_57_00032_dig_segmented.png,12_54_57_00032_ana_square_dark_modern.png,12_54_57_00032_ana_clean_square_dark_modern.png,12,54,57
11_41_32_00033_dig_segmented.png,11_41_32_00033_ana_square_orange_warm.png,11_41_32_00033_ana_clean_square_orange_warm.png,11,41,32
02_48_03_00034_dig_simple.png,02_48_03_00034_ana_dynamic_minimal_gray.png,02_48_03_00034_ana_clean_dynamic_minimal_gray.png,2,48,3
07_43_19_00035_dig_simple.png,07_43_19_00035_ana_square_dark_modern.png,07_43_19_00035_ana_clean_square_dark_modern.png,7,43,19
04_27_11_00036_dig_simple.png,04_27_11_00036_ana_square_classic_white.png,04_27_11_00036_ana_clean_square_classic_white.png,4,27,11
06_04_37_00037_dig_simple.png,06_04_37_00037_ana_square_orange_warm.png,06_04_37_00037_ana_clean_square_orange_warm.png,6,4,37
11_56_04_00038_dig_simple.png,11_56_04_00038_ana_dynamic_black_white.png,11_56_04_00038_ana_clean_dynamic_black_white.png,11,56,4
18_19_05_00039_dig_simple.png,18_19_05_00039_ana_dynamic_gold_luxury.png,18_19_05_00039_ana_clean_dynamic_gold_luxury.png,18,19,5
03_43_47_00040_dig_segmented.png,03_43_47_00040_ana_dynamic_minimal_gray.png,03_43_47_00040_ana_clean_dynamic_minimal_gray.png,3,43,47
19_51_41_00041_dig_lcd.png,19_51_41_00041_ana_dynamic_purple_elegant.png,19_51_41_00041_ana_clean_dynamic_purple_elegant.png,19,51,41
21_06_56_00042_dig_lcd.png,21_06_56_00042_ana_square_gold_luxury.png,21_06_56_00042_ana_clean_square_gold_luxury.png,21,6,56
22_40_03_00043_dig_lcd.png,22_40_03_00043_ana_square_purple_elegant.png,22_40_03_00043_ana_clean_square_purple_elegant.png,22,40,3
17_00_07_00044_dig_lcd.png,17_00_07_00044_ana_square_dark_modern.png,17_00_07_00044_ana_clean_square_dark_modern.png,17,0,7
02_00_29_00045_dig_segmented.png,02_00_29_00045_ana_square_gold_luxury.png,02_00_29_00045_ana_clean_square_gold_luxury.png,2,0,29
17_10_16_00046_dig_lcd.png,17_10_16_00046_ana_dynamic_green_nature.png,17_10_16_00046_ana_clean_dynamic_green_nature.png,17,10,16
22_44_24_00047_dig_segmented.png,22_44_24_00047_ana_dynamic_gold_luxury.png,22_44_24_00047_ana_clean_dynamic_gold_luxury.png,22,44,24
08_19_16_00048_dig_simple.png,08_19_16_00048_ana_square_minimal_gray.png,08_19_16_00048_ana_clean_square_minimal_gray.png,8,19,16
06_42_45_00049_dig_lcd.png,06_42_45_00049_ana_dynamic_dark_modern.png,06_42_45_00049_ana_clean_dynamic_dark_modern.png,6,42,45
11_44_29_00050_dig_simple.png,11_44_29_00050_ana_square_vintage_cream.png,11_44_29_00050_ana_clean_square_vintage_cream.png,11,44,29
03_22_54_00051_dig_lcd.png,03_22_54_00051_ana_square_vintage_cream.png,03_22_54_00051_ana_clean_square_vintage_cream.png,3,22,54
12_46_21_00052_dig_segmented.png,12_46_21_00052_ana_square_black_white.png,12_46_21_00052_ana_clean_square_black_white.png,12,46,21
16_31_40_00053_dig_lcd.png,16_31_40_00053_ana_square_blue_ocean.png,16_31_40_00053_ana_clean_square_blue_ocean.png,16,31,40
01_46_29_00054_dig_lcd.png,01_46_29_00054_ana_dynamic_vintage_cream.png,01_46_29_00054_ana_clean_dynamic_vintage_cream.png,1,46,29
01_51_20_00055_dig_lcd.png,01_51_20_00055_ana_dynamic_green_nature.png,01_51_20_00055_ana_clean_dynamic_green_nature.png,1,51,20
14_36_39_00056_dig_simple.png,14_36_39_00056_ana_square_orange_warm.png,14_36_39_00056_ana_clean_square_orange_warm.png,14,36,39
20_31_25_00057_dig_lcd.png,20_31_25_00057_ana_square_dark_modern.png,20_31_25_00057_ana_clean_square_dark_modern.png,20,31,25
02_56_44_00058_dig_simple.png,02_56_44_00058_ana_square_gold_luxury.png,02_56_44_00058_ana_clean_square_gold_luxury.png,2,56,44
09_14_23_00059_dig_simple.png,09_14_23_00059_ana_square_blue_ocean.png,09_14_23_00059_ana_clean_square_blue_ocean.png,9,14,23
